HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Rangers,Motherwell,1,2,A,0,1,A,31,15,11,5,9,10,15,2,0,3,0,0
St Johnstone,Livingston,1,1,D,0,1,A,10,8,3,4,15,16,2,2,2,2,0,0
St Mirren,Aberdeen,2,1,H,0,1,A,14,9,5,3,16,22,3,2,1,4,0,0
Hearts,Celtic,2,0,H,1,0,H,14,17,6,6,10,11,7,7,2,2,0,1
Dundee,Aberdeen,1,0,H,0,0,D,18,10,6,2,12,8,6,4,2,1,0,0
Ross County,Hibernian,2,2,D,1,0,H,6,11,3,6,7,12,2,6,1,2,0,0
Celtic,St Johnstone,3,1,H,1,0,H,22,6,9,2,6,13,10,2,0,3,0,0
Hibernian,Livingston,3,0,H,3,0,H,14,9,4,3,13,16,3,2,0,6,0,0
Kilmarnock,St Mirren,5,2,H,0,2,A,13,7,8,2,15,13,1,3,3,1,0,0
Motherwell,Aberdeen,0,1,A,0,1,A,14,14,5,4,13,10,6,6,1,2,0,0
Ross County,Hearts,2,1,H,1,0,H,11,21,3,6,7,6,2,15,2,1,0,0
Aberdeen,Ross County,2,1,H,1,1,D,10,10,4,3,12,16,2,8,2,4,0,0
Hearts,Kilmarnock,1,1,D,1,0,H,16,12,6,4,5,12,7,7,2,2,0,0
Motherwell,St Mirren,1,1,D,0,1,A,16,17,4,4,9,8,4,4,1,1,0,0
Rangers,Hibernian,3,1,H,2,1,H,24,6,8,1,14,7,9,4,3,3,0,0
St Johnstone,Dundee,1,2,A,0,1,A,15,10,4,3,8,9,11,2,5,1,0,0
Livingston,Celtic,0,3,A,0,0,D,5,21,1,10,7,8,0,8,1,0,0,0
Dundee,Motherwell,2,3,A,1,0,H,6,20,2,5,7,4,3,11,2,0,0,0
Hibernian,St Johnstone,1,2,A,0,0,D,13,6,6,2,6,6,13,3,1,2,0,0
Kilmarnock,Ross County,1,0,H,0,0,D,14,10,5,4,6,15,4,3,4,4,0,0
Livingston,Aberdeen,0,0,D,0,0,D,9,5,1,3,15,7,2,5,2,0,0,0
St Mirren,Hearts,1,2,A,0,1,A,6,10,1,2,14,5,8,7,1,2,0,0
Rangers,Celtic,3,3,D,0,2,A,12,14,5,7,10,23,3,2,0,4,0,0
Aberdeen,Dundee,0,0,D,0,0,D,12,18,5,3,14,17,3,5,0,3,1,0
Celtic,St Mirren,3,0,H,0,0,D,18,2,9,0,7,12,11,1,0,2,0,0
Hearts,Livingston,4,2,H,4,2,H,13,8,5,3,9,17,5,5,1,0,0,1
Motherwell,Hibernian,1,1,D,0,0,D,8,8,1,4,7,10,4,6,2,4,0,0
St Johnstone,Kilmarnock,0,2,A,0,1,A,11,17,3,5,8,14,2,6,0,0,0,0
Ross County,Rangers,3,2,H,0,1,A,13,28,6,7,6,10,3,17,3,1,0,0
Dundee,Rangers,0,0,D,0,0,D,7,17,1,5,11,13,2,9,1,0,0,0
Livingston,Rangers,1,2,A,1,0,H,5,21,2,6,17,15,0,8,3,4,0,0
Hearts,Ross County,2,1,H,0,0,D,15,12,4,3,6,15,4,2,1,2,0,0
Kilmarnock,Dundee United,1,1,D,0,1,A,18,7,5,5,11,11,4,4,2,0,0,1
St Johnstone,Hibernian,0,1,A,0,0,D,4,14,1,1,12,15,3,9,2,4,1,0
St Mirren,Motherwell,0,1,A,0,1,A,19,9,6,2,9,11,8,2,4,4,0,1
Celtic,Aberdeen,2,0,H,1,0,H,21,5,9,3,11,12,9,3,1,2,0,0
Aberdeen,St Mirren,4,1,H,3,0,H,23,6,10,1,12,15,4,4,1,2,0,1
Motherwell,St Johnstone,1,2,A,0,1,A,12,10,2,3,17,9,4,6,1,3,0,0
Rangers,Kilmarnock,2,0,H,0,0,D,18,4,4,0,13,17,8,3,0,6,0,0
Ross County,Celtic,1,3,A,0,0,D,5,23,2,7,10,4,3,12,4,2,0,0
Hibernian,Hearts,1,1,D,0,1,A,12,12,3,6,18,13,7,9,3,1,0,0
Dundee United,Livingston,0,1,A,0,0,D,10,11,3,4,11,14,9,4,2,3,0,0
Aberdeen,Motherwell,2,3,A,1,1,D,14,19,3,6,9,10,5,12,1,2,0,0
Livingston,Hibernian,2,1,H,1,0,H,12,23,6,5,15,10,3,14,1,2,0,0
Rangers,St Johnstone,4,0,H,1,0,H,24,4,8,1,9,10,9,1,1,2,0,0
St Mirren,Ross County,1,0,H,0,0,D,8,5,2,1,10,10,6,5,1,1,0,0
Kilmarnock,Celtic,0,5,A,0,3,A,12,20,3,11,18,11,2,8,4,2,0,0
Hearts,Dundee United,4,1,H,1,0,H,13,10,12,2,8,11,3,2,0,4,0,0
Hibernian,Rangers,2,2,D,0,1,A,14,9,5,2,19,7,5,3,4,2,0,2
Dundee United,St Mirren,0,3,A,0,1,A,13,12,3,5,10,17,6,7,3,2,0,0
Motherwell,Livingston,1,0,H,0,0,D,13,5,2,1,15,16,2,1,1,0,0,1
