HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Sassuolo,Spezia,4,1,H,1,1,D,16,5,7,1,14,16,6,2,2,3,0,0
Genoa,Torino,1,0,H,1,0,H,7,9,2,3,12,17,2,3,3,3,1,0
Napoli,Udinese,2,1,H,0,1,A,20,10,8,3,10,12,7,4,2,2,0,1
Inter,Fiorentina,1,1,D,0,0,D,13,17,5,4,14,12,5,3,1,2,0,0
Cagliari,Milan,0,1,A,0,0,D,13,21,1,5,13,14,6,5,1,0,0,0
Venezia,Sampdoria,0,2,A,0,2,A,13,8,1,4,28,17,3,4,5,1,1,0
Empoli,Verona,1,1,D,1,0,H,7,14,2,4,17,13,3,7,2,3,0,0
Juventus,Salernitana,2,0,H,2,0,H,12,12,7,4,10,13,5,5,3,2,0,0
Roma,Lazio,3,0,H,3,0,H,11,9,5,3,16,12,6,3,4,3,0,0
Bologna,Atalanta,0,1,A,0,0,D,12,15,3,2,9,12,6,3,0,1,0,0
Spezia,Venezia,1,0,H,0,0,D,11,13,5,2,15,12,5,2,3,1,0,0
Lazio,Sassuolo,2,1,H,1,0,H,14,20,5,5,11,8,4,3,1,3,0,0
Salernitana,Torino,0,1,A,0,1,A,14,8,3,5,15,21,9,2,5,4,1,0
Fiorentina,Empoli,1,0,H,0,0,D,24,5,11,1,10,20,5,0,1,3,0,1
Atalanta,Napoli,1,3,A,0,2,A,19,6,3,5,15,11,9,1,2,3,0,0
Udinese,Cagliari,5,1,H,2,1,H,24,6,11,3,19,15,2,2,2,4,0,1
Sampdoria,Roma,0,1,A,0,1,A,8,6,3,1,15,13,4,4,2,3,0,0
Juventus,Inter,0,1,A,0,1,A,23,5,5,1,9,19,8,1,4,4,0,0
Verona,Genoa,1,0,H,1,0,H,7,7,3,4,16,15,2,5,4,3,0,0
Milan,Bologna,0,0,D,0,0,D,33,8,7,4,10,7,9,2,0,2,0,0
Empoli,Spezia,0,0,D,0,0,D,15,11,4,5,11,18,5,4,2,2,0,0
Inter,Verona,2,0,H,2,0,H,18,9,6,3,10,7,10,2,2,0,0,0
Cagliari,Juventus,1,2,A,1,1,D,4,20,1,6,19,10,1,4,1,0,0,0
Genoa,Lazio,1,4,A,0,2,A,15,17,4,11,7,8,3,6,0,1,0,0
Napoli,Fiorentina,2,3,A,0,1,A,15,11,3,4,10,17,3,2,0,3,0,0
Sassuolo,Atalanta,2,1,H,1,0,H,14,15,7,4,18,14,8,8,2,1,0,0
Venezia,Udinese,1,2,A,0,1,A,9,16,4,5,15,11,7,11,7,2,0,0
Roma,Salernitana,2,1,H,0,1,A,17,6,7,3,16,23,9,2,5,8,0,0
Torino,Milan,0,0,D,0,0,D,14,14,3,3,18,6,6,5,2,2,0,0
Bologna,Sampdoria,2,0,H,0,0,D,19,9,4,2,11,11,6,0,1,2,0,0
Spezia,Inter,1,3,A,0,1,A,10,23,2,7,9,11,6,7,2,0,0,0
Milan,Genoa,2,0,H,1,0,H,10,7,5,1,10,19,3,1,1,2,0,0
Cagliari,Sassuolo,1,0,H,1,0,H,16,8,8,2,15,11,3,3,2,2,0,0
Sampdoria,Salernitana,1,2,A,1,2,A,5,7,1,2,18,23,5,2,1,7,0,0
Udinese,Empoli,4,1,H,1,0,H,13,15,5,4,18,13,4,7,1,4,0,0
Fiorentina,Venezia,1,0,H,1,0,H,22,3,6,1,15,17,5,0,4,4,0,0
Juventus,Bologna,1,1,D,0,0,D,23,9,4,2,11,11,4,5,1,5,0,2
Lazio,Torino,1,1,D,0,0,D,10,12,4,4,10,12,9,7,1,2,0,0
Napoli,Roma,1,1,D,1,0,H,9,8,4,6,21,12,5,5,4,2,0,0
Atalanta,Verona,1,2,A,0,1,A,17,21,4,6,13,13,10,1,3,3,0,0
Udinese,Salernitana,0,1,A,0,0,D,11,9,3,2,20,13,9,3,3,5,0,0
Torino,Spezia,2,1,H,1,0,H,14,7,6,2,9,13,5,6,1,2,0,0
Venezia,Atalanta,1,3,A,0,1,A,8,19,2,5,12,13,0,7,0,3,0,0
Inter,Roma,3,1,H,2,0,H,11,9,8,2,11,13,4,3,2,2,0,0
Verona,Sampdoria,1,1,D,0,1,A,12,4,1,3,15,15,4,5,1,3,0,0
Salernitana,Fiorentina,2,1,H,1,0,H,10,8,4,3,15,12,6,4,1,1,0,0
Bologna,Udinese,2,2,D,1,1,D,10,17,3,5,9,22,2,4,2,2,0,0
Empoli,Napoli,3,2,H,0,1,A,17,16,7,2,14,9,10,7,4,1,0,0
Genoa,Cagliari,1,0,H,0,0,D,13,11,2,1,21,18,2,3,3,2,0,0
Lazio,Milan,1,2,A,1,0,H,7,25,2,8,13,15,2,8,3,4,0,0
Sassuolo,Juventus,1,2,A,1,1,D,22,10,7,5,15,8,6,4,2,2,0,0
Fiorentina,Udinese,0,4,A,0,2,A,18,17,7,8,12,22,14,2,3,4,0,0
Atalanta,Torino,4,4,D,2,2,D,16,5,5,4,12,11,8,0,2,2,0,0
Bologna,Inter,2,1,H,1,1,D,5,26,3,7,11,9,0,7,1,3,0,0
Cagliari,Verona,1,2,A,0,2,A,14,13,5,4,16,17,2,2,2,4,0,0
Napoli,Sassuolo,6,1,H,4,0,H,18,13,8,4,10,9,4,3,0,3,0,0
Sampdoria,Genoa,1,0,H,1,0,H,10,14,2,4,13,23,1,2,3,1,0,0
Spezia,Lazio,3,4,A,2,1,H,9,22,3,9,15,10,4,5,3,1,0,0
