HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Asteras Tripolis,Volos NFC,0,2,A,0,0,D,9,10,3,4,14,15,4,5,2,3,0,0
Kifisia,OFI Crete,0,0,D,0,0,D,13,11,4,3,8,16,5,8,2,3,0,0
Atromitos,Giannina,3,2,H,1,0,H,8,14,6,5,11,13,2,6,1,2,0,0
Panetolikos,Panserraikos,3,0,H,2,0,H,15,7,10,1,15,22,3,4,3,3,0,0
Panserraikos,Asteras Tripolis,2,0,H,0,0,D,7,13,3,1,14,17,2,3,3,7,0,0
Volos NFC,Kifisia,4,1,H,3,1,H,14,11,8,7,23,8,7,2,5,4,1,0
Giannina,Panetolikos,1,1,D,1,0,H,10,11,4,4,16,20,3,2,1,1,0,0
OFI Crete,Atromitos,0,0,D,0,0,D,14,11,4,3,10,18,5,3,3,5,0,0
Panathinaikos,PAOK,2,3,A,1,2,A,16,10,8,7,5,16,6,4,1,6,1,0
AEK,Olympiakos,1,0,H,0,0,D,10,11,5,7,15,17,2,4,3,5,0,0
Aris,Lamia,3,1,H,0,0,D,18,9,8,2,14,11,13,4,3,3,0,0
Olympiakos,Aris,3,0,H,1,0,H,16,7,9,0,11,5,9,0,2,2,0,0
PAOK,Lamia,3,1,H,1,1,D,18,6,9,1,4,17,13,3,0,3,0,0
Panathinaikos,AEK,2,1,H,2,1,H,10,18,6,5,12,11,1,11,4,3,0,0
Atromitos,Panserraikos,1,1,D,0,1,A,10,8,3,4,16,19,5,1,6,3,0,0
Asteras Tripolis,Kifisia,1,2,A,1,0,H,14,10,4,7,21,15,4,3,5,2,0,1
Panetolikos,Volos NFC,0,1,A,0,1,A,12,5,4,1,16,22,9,3,4,2,1,1
OFI Crete,Giannina,4,0,H,2,0,H,20,11,8,5,17,11,6,2,0,3,0,1
Lamia,Olympiakos,1,5,A,0,3,A,9,21,3,11,12,17,2,4,1,1,0,0
Aris,Panathinaikos,0,2,A,0,0,D,20,10,6,3,16,17,8,1,2,3,0,0
AEK,PAOK,2,2,D,1,0,H,10,8,4,4,13,15,3,6,6,6,0,0
Panserraikos,OFI Crete,2,2,D,2,1,H,10,11,4,5,13,12,1,6,3,4,0,0
Volos NFC,Atromitos,2,2,D,1,1,D,11,13,6,6,20,20,7,2,3,5,0,0
Giannina,Asteras Tripolis,0,1,A,0,0,D,16,8,2,3,12,21,10,6,4,5,0,0
Kifisia,Panetolikos,0,1,A,0,0,D,19,9,3,3,11,21,2,6,1,3,0,0
Panathinaikos,Lamia,3,1,H,1,1,D,22,6,6,2,8,18,7,1,0,5,0,0
AEK,Aris,2,0,H,2,0,H,16,4,7,2,21,18,4,2,2,5,0,0
OFI Crete,Volos NFC,2,1,H,1,0,H,13,8,8,4,11,6,3,3,1,1,0,0
Asteras Tripolis,Panetolikos,0,2,A,0,1,A,9,13,2,7,16,7,10,6,1,1,0,0
Atromitos,Kifisia,1,2,A,1,0,H,14,13,3,7,19,15,3,5,3,6,0,0
Panserraikos,Giannina,2,1,H,2,0,H,12,13,5,4,12,19,6,4,3,3,0,0
Lamia,Panathinaikos,0,5,A,0,2,A,11,17,5,10,11,19,2,4,3,2,0,0
Aris,AEK,1,2,A,1,0,H,11,28,4,12,15,16,2,9,6,2,0,0
Olympiakos,PAOK,2,1,H,1,0,H,8,7,3,2,17,6,2,3,1,5,0,0
Lamia,PAOK,1,1,D,1,0,H,10,15,4,5,15,14,2,8,6,0,2,0
Aris,Olympiakos,1,1,D,0,0,D,14,18,6,11,9,19,3,11,1,1,0,0
AEK,Panathinaikos,3,0,H,2,0,H,16,8,7,1,20,14,4,2,0,2,0,0
Volos NFC,Asteras Tripolis,3,3,D,1,1,D,9,12,6,4,12,18,3,3,4,3,0,0
Atromitos,OFI Crete,3,1,H,2,1,H,6,5,4,2,9,20,2,5,2,4,0,0
Lamia,AEK,0,3,A,0,1,A,4,8,2,3,16,18,0,1,1,1,0,0
PAOK,Panetolikos,1,0,H,1,0,H,9,4,7,2,12,9,7,4,0,2,0,0
Panathinaikos,Ionikos,1,0,H,1,0,H,9,3,4,1,11,18,6,1,1,4,0,0
Aris,Levadeiakos,3,0,H,2,0,H,10,9,6,4,14,18,6,3,1,3,0,0
Olympiakos,Giannina,2,0,H,0,0,D,12,8,4,3,8,6,6,2,0,0,0,0
Ionikos,Levadeiakos,0,0,D,0,0,D,12,13,4,2,19,18,6,2,3,2,0,0
Giannina,Lamia,1,1,D,1,0,H,12,11,3,5,14,22,6,8,2,4,0,0
AEK,Volos NFC,0,1,A,0,1,A,16,5,4,3,11,18,8,1,3,5,0,0
