HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
St Truiden,Gent,0,2,A,0.0,1.0,A,17.0,15.0,5.0,5.0,12.0,8.0,5.0,4.0,2.0,1.0,0.0,0.0
Standard,Mechelen,0,0,D,0.0,0.0,D,21.0,6.0,6.0,1.0,9.0,6.0,8.0,4.0,0.0,2.0,0.0,0.0
Westerlo,Oud-Heverlee Leuven,1,1,D,1.0,0.0,H,15.0,20.0,3.0,7.0,7.0,14.0,9.0,4.0,2.0,3.0,0.0,0.0
Anderlecht,Cercle Brugge,3,0,H,2.0,0.0,H,12.0,7.0,5.0,4.0,6.0,12.0,4.0,2.0,1.0,4.0,0.0,0.0
Club Brugge,Genk,4,0,H,1.0,0.0,H,15.0,12.0,7.0,4.0,12.0,16.0,0.0,4.0,0.0,1.0,0.0,0.0
Antwerp,St. Gilloise,0,3,A,0.0,0.0,D,6.0,13.0,1.0,7.0,9.0,19.0,5.0,5.0,3.0,4.0,0.0,0.0
Standard,Gent,2,2,D,1.0,0.0,H,7.0,25.0,3.0,9.0,14.0,13.0,2.0,12.0,5.0,2.0,1.0,0.0
Charleroi,Eupen,3,1,H,1.0,0.0,H,12.0,8.0,5.0,7.0,10.0,12.0,2.0,1.0,2.0,1.0,0.0,0.0
Kortrijk,Oud-Heverlee Leuven,0,2,A,0.0,0.0,D,15.0,19.0,2.0,6.0,14.0,13.0,6.0,4.0,3.0,0.0,0.0,0.0
Waregem,Seraing,2,0,H,0.0,0.0,D,18.0,2.0,8.0,0.0,14.0,17.0,7.0,0.0,1.0,1.0,0.0,0.0
St Truiden,St. Gilloise,1,1,D,1.0,0.0,H,11.0,14.0,3.0,3.0,9.0,11.0,0.0,5.0,1.0,4.0,0.0,0.0
Club Brugge,Genk,3,2,H,1.0,1.0,D,15.0,16.0,5.0,10.0,7.0,17.0,4.0,3.0,1.0,2.0,0.0,0.0
Mechelen,Antwerp,0,2,A,0.0,2.0,A,13.0,9.0,2.0,3.0,10.0,9.0,6.0,2.0,1.0,1.0,0.0,0.0
Anderlecht,Oostende,2,0,H,1.0,0.0,H,13.0,8.0,3.0,1.0,9.0,8.0,7.0,5.0,0.0,4.0,0.0,1.0
Westerlo,Cercle Brugge,2,0,H,1.0,0.0,H,18.0,4.0,8.0,0.0,12.0,20.0,3.0,4.0,1.0,5.0,0.0,1.0
St. Gilloise,Charleroi,1,0,H,0.0,0.0,D,16.0,5.0,6.0,4.0,11.0,5.0,8.0,4.0,2.0,1.0,0.0,0.0
Cercle Brugge,Anderlecht,1,0,H,0.0,0.0,D,13.0,5.0,5.0,0.0,11.0,15.0,8.0,1.0,0.0,5.0,0.0,1.0
Oostende,Mechelen,2,1,H,2.0,0.0,H,9.0,19.0,7.0,7.0,5.0,14.0,6.0,9.0,0.0,2.0,1.0,0.0
Oud-Heverlee Leuven,Westerlo,2,0,H,1.0,0.0,H,11.0,14.0,5.0,0.0,11.0,15.0,5.0,6.0,2.0,3.0,0.0,1.0
Gent,St Truiden,1,1,D,1.0,0.0,H,13.0,11.0,4.0,7.0,14.0,12.0,3.0,6.0,2.0,2.0,0.0,0.0
Genk,Standard,3,1,H,3.0,1.0,H,16.0,10.0,5.0,2.0,15.0,11.0,7.0,4.0,3.0,4.0,0.0,0.0
Eupen,Club Brugge,2,1,H,2.0,1.0,H,13.0,13.0,6.0,5.0,18.0,13.0,5.0,7.0,4.0,2.0,1.0,0.0
Seraing,Kortrijk,0,1,A,0.0,0.0,D,18.0,7.0,4.0,3.0,17.0,9.0,3.0,4.0,2.0,2.0,1.0,1.0
Antwerp,Waregem,1,0,H,0.0,0.0,D,17.0,12.0,7.0,4.0,6.0,14.0,3.0,6.0,2.0,3.0,0.0,1.0
Club Brugge,Waregem,1,1,D,0.0,0.0,D,23.0,7.0,7.0,4.0,7.0,17.0,7.0,4.0,2.0,3.0,0.0,0.0
Genk,Eupen,4,2,H,3.0,1.0,H,24.0,9.0,14.0,5.0,9.0,15.0,8.0,2.0,0.0,3.0,0.0,1.0
Charleroi,Oostende,1,3,A,0.0,1.0,A,15.0,9.0,3.0,6.0,11.0,7.0,9.0,5.0,2.0,1.0,0.0,0.0
Kortrijk,St Truiden,0,0,D,0.0,0.0,D,10.0,18.0,4.0,2.0,12.0,16.0,4.0,6.0,0.0,1.0,0.0,0.0
Mechelen,St. Gilloise,3,0,H,1.0,0.0,H,6.0,6.0,4.0,2.0,14.0,12.0,3.0,5.0,2.0,5.0,0.0,0.0
Standard,Cercle Brugge,2,0,H,2.0,0.0,H,10.0,6.0,7.0,3.0,15.0,17.0,6.0,6.0,1.0,2.0,0.0,0.0
Gent,Westerlo,2,1,H,2.0,1.0,H,15.0,9.0,5.0,3.0,11.0,10.0,10.0,7.0,2.0,0.0,0.0,0.0
Anderlecht,Seraing,3,1,H,3.0,0.0,H,12.0,5.0,6.0,2.0,14.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0
Antwerp,Oud-Heverlee Leuven,4,2,H,2.0,1.0,H,17.0,8.0,4.0,4.0,7.0,11.0,8.0,7.0,2.0,1.0,0.0,0.0
Oostende,Gent,1,3,A,1.0,2.0,A,8.0,13.0,2.0,7.0,9.0,7.0,2.0,6.0,3.0,1.0,0.0,0.0
Westerlo,Standard,4,2,H,1.0,0.0,H,14.0,12.0,5.0,6.0,3.0,11.0,4.0,6.0,2.0,6.0,0.0,1.0
Cercle Brugge,Mechelen,0,0,D,0.0,0.0,D,12.0,10.0,2.0,4.0,9.0,13.0,8.0,8.0,1.0,3.0,0.0,0.0
Seraing,Charleroi,0,1,A,0.0,0.0,D,11.0,13.0,3.0,5.0,8.0,13.0,4.0,6.0,2.0,2.0,0.0,0.0
St. Gilloise,Kortrijk,2,1,H,1.0,0.0,H,17.0,6.0,9.0,2.0,22.0,11.0,5.0,1.0,0.0,3.0,0.0,0.0
St Truiden,Anderlecht,0,3,A,0.0,2.0,A,12.0,10.0,6.0,7.0,13.0,11.0,6.0,5.0,4.0,3.0,0.0,0.0
Eupen,Antwerp,0,1,A,0.0,0.0,D,16.0,9.0,5.0,3.0,12.0,9.0,6.0,3.0,4.0,0.0,0.0,0.0
Oud-Heverlee Leuven,Club Brugge,0,3,A,0.0,2.0,A,13.0,12.0,2.0,6.0,6.0,12.0,7.0,5.0,3.0,2.0,0.0,0.0
Waregem,Genk,1,4,A,1.0,3.0,A,15.0,15.0,6.0,6.0,14.0,16.0,4.0,8.0,4.0,2.0,0.0,0.0
Eupen,Seraing,1,3,A,0.0,3.0,A,12.0,16.0,5.0,7.0,17.0,10.0,7.0,6.0,5.0,3.0,0.0,0.0
Oostende,St Truiden,0,1,A,0.0,1.0,A,12.0,9.0,6.0,3.0,12.0,16.0,5.0,5.0,2.0,4.0,0.0,0.0
Genk,Cercle Brugge,2,1,H,1.0,0.0,H,15.0,9.0,5.0,2.0,7.0,19.0,7.0,5.0,1.0,1.0,0.0,0.0
Club Brugge,Kortrijk,2,1,H,2.0,1.0,H,29.0,9.0,12.0,2.0,16.0,12.0,15.0,2.0,3.0,3.0,0.0,1.0
Waregem,Charleroi,1,3,A,1.0,1.0,D,9.0,15.0,4.0,6.0,5.0,7.0,2.0,5.0,2.0,0.0,0.0,0.0
Standard,Oud-Heverlee Leuven,1,3,A,0.0,2.0,A,25.0,7.0,8.0,5.0,11.0,15.0,10.0,3.0,3.0,4.0,0.0,1.0
Mechelen,Westerlo,5,4,H,1.0,1.0,D,14.0,14.0,7.0,8.0,11.0,7.0,4.0,5.0,1.0,2.0,0.0,0.0
Charleroi,Club Brugge,1,3,A,1.0,2.0,A,21.0,16.0,6.0,6.0,9.0,6.0,2.0,5.0,1.0,0.0,0.0,0.0
Seraing,Genk,0,4,A,0.0,1.0,A,10.0,11.0,3.0,4.0,10.0,13.0,5.0,2.0,2.0,3.0,0.0,0.0
Cercle Brugge,Waregem,1,1,D,1.0,1.0,D,23.0,8.0,6.0,4.0,10.0,16.0,6.0,4.0,1.0,2.0,0.0,0.0
Oud-Heverlee Leuven,Oostende,2,1,H,0.0,1.0,A,11.0,15.0,6.0,5.0,9.0,15.0,2.0,7.0,1.0,3.0,0.0,0.0
St Truiden,Mechelen,3,1,H,0.0,0.0,D,10.0,2.0,4.0,2.0,10.0,15.0,4.0,3.0,1.0,3.0,0.0,0.0
