HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Rennes,Clermont,6,0,H,2,0,H,21,4,10,1,14,5,5,7,2,1,0,0
Angers,Marseille,0,0,D,0,0,D,9,6,1,1,9,7,4,2,1,3,0,0
Lens,Strasbourg,0,1,A,0,0,D,17,6,4,1,14,7,7,3,2,3,1,0
Lorient,Nice,1,0,H,1,0,H,8,13,1,1,12,16,6,5,2,4,1,0
Lyon,Troyes,3,1,H,0,1,A,15,12,8,7,7,9,7,3,1,3,0,0
Metz,Paris SG,1,2,A,1,1,D,6,15,2,5,12,12,3,3,6,2,1,0
St Etienne,Nice,0,3,A,0,1,A,11,14,6,9,9,13,2,9,0,2,0,0
Strasbourg,Lille,1,2,A,0,1,A,10,16,3,7,16,12,8,8,4,4,1,0
Lyon,Lorient,1,1,D,0,1,A,12,12,2,5,9,10,9,3,1,2,1,0
Paris SG,Montpellier,2,0,H,1,0,H,16,10,5,4,10,8,8,7,0,1,0,0
Bordeaux,Rennes,1,1,D,0,0,D,10,18,3,8,6,20,8,6,1,4,0,0
Brest,Metz,1,2,A,0,1,A,11,6,2,4,16,16,4,3,3,2,0,0
Reims,Nantes,3,1,H,0,0,D,9,11,5,2,14,10,3,7,1,1,0,0
Troyes,Angers,1,1,D,1,0,H,6,17,3,6,9,8,2,9,4,2,1,0
Clermont,Monaco,1,3,A,1,1,D,12,6,4,3,9,12,5,1,2,4,0,0
Marseille,Lens,2,3,A,2,2,D,14,14,4,5,4,14,5,7,2,1,0,0
Lens,Reims,2,0,H,1,0,H,13,3,7,0,13,13,5,3,3,1,0,1
Montpellier,Strasbourg,1,1,D,1,1,D,12,6,4,3,12,14,3,4,2,0,0,0
Nice,Brest,2,1,H,1,0,H,20,6,9,2,8,12,6,2,1,1,0,0
Rennes,Paris SG,2,0,H,1,0,H,12,13,4,0,9,4,4,4,2,3,0,0
Angers,Metz,3,2,H,0,1,A,18,2,5,2,16,11,12,2,1,3,0,0
Lorient,Clermont,1,1,D,0,1,A,6,8,1,4,19,12,4,4,2,1,0,0
Monaco,Bordeaux,3,0,H,1,0,H,12,4,4,1,12,13,10,2,2,1,0,0
Nantes,Troyes,2,0,H,0,0,D,8,15,4,4,14,10,3,7,2,2,0,0
Lille,Marseille,2,0,H,1,0,H,12,10,5,3,10,13,3,5,2,3,0,1
St Etienne,Lyon,1,1,D,0,1,A,18,15,6,5,14,10,6,4,2,3,0,1
Paris SG,Angers,2,1,H,0,1,A,13,7,2,2,8,10,6,5,1,2,0,0
Clermont,Lille,1,0,H,1,0,H,9,9,3,2,9,8,6,9,1,2,0,0
Lyon,Monaco,2,0,H,0,0,D,14,9,8,3,8,10,2,4,1,2,0,0
Troyes,Nice,1,0,H,1,0,H,8,11,3,3,10,20,3,3,2,1,0,0
Bordeaux,Nantes,1,1,D,0,0,D,8,13,1,7,10,16,2,5,2,3,0,0
Brest,Reims,1,1,D,0,1,A,9,13,4,2,18,13,7,7,3,4,0,0
Metz,Rennes,0,3,A,0,3,A,9,21,2,8,14,9,4,10,3,1,0,0
Strasbourg,St Etienne,5,1,H,2,1,H,12,4,6,2,18,10,7,4,3,2,0,1
Montpellier,Lens,1,0,H,0,0,D,15,19,6,5,8,16,3,2,4,4,1,0
Marseille,Lorient,4,1,H,1,1,D,16,15,6,7,7,10,6,4,0,1,0,0
St Etienne,Angers,2,2,D,0,1,A,17,4,6,2,12,18,6,1,0,3,0,0
Nantes,Clermont,2,1,H,1,0,H,8,4,4,1,15,11,1,3,1,0,1,1
Lille,Brest,1,1,D,1,1,D,13,13,3,5,10,15,5,4,1,2,0,0
Nice,Lyon,3,2,H,0,1,A,17,13,7,8,11,7,3,2,1,0,0,1
Lens,Metz,4,1,H,2,1,H,11,9,5,4,9,13,5,6,2,3,0,0
Lorient,Bordeaux,1,1,D,0,0,D,14,11,4,5,12,13,9,4,4,2,0,1
Reims,Troyes,1,2,A,1,1,D,18,7,5,4,14,13,7,1,4,2,1,0
Rennes,Strasbourg,1,0,H,0,0,D,17,8,3,2,6,11,11,6,1,2,0,0
Monaco,Montpellier,3,1,H,2,0,H,14,12,4,3,14,16,4,4,1,4,0,0
Marseille,Paris SG,0,0,D,0,0,D,15,10,1,4,7,8,4,5,1,2,0,1
Nice,Marseille,1,1,D,1,1,D,11,7,3,1,16,8,6,5,2,2,0,0
Paris SG,Lille,2,1,H,0,1,A,17,11,6,3,7,10,4,5,1,5,0,0
Metz,St Etienne,1,1,D,1,1,D,9,10,4,3,16,11,5,8,0,3,0,0
Lyon,Lens,2,1,H,2,0,H,13,18,4,10,7,13,3,5,1,2,0,0
Angers,Nice,1,2,A,1,0,H,3,14,2,5,14,9,3,8,1,2,0,0
Bordeaux,Reims,3,2,H,0,1,A,17,12,7,8,5,10,12,2,3,2,0,0
Montpellier,Nantes,2,0,H,0,0,D,19,12,10,1,12,23,5,5,3,5,0,0
Strasbourg,Lorient,4,0,H,3,0,H,15,5,6,0,12,10,6,3,1,0,0,0
Troyes,Rennes,2,2,D,2,1,H,14,13,5,5,6,15,5,12,0,1,0,0
Brest,Monaco,2,0,H,1,0,H,7,5,3,2,8,17,2,5,1,5,0,0
Clermont,Marseille,0,1,A,0,1,A,12,9,1,4,14,11,4,2,1,4,0,0
Lens,Troyes,4,0,H,3,0,H,28,14,12,6,14,8,4,2,1,1,0,0
Lille,Angers,1,1,D,1,0,H,11,9,6,5,13,9,4,8,2,2,1,0
Bordeaux,Paris SG,2,3,A,0,2,A,18,9,6,5,9,10,10,5,2,1,0,0
Marseille,Metz,0,0,D,0,0,D,15,12,3,4,8,9,9,7,1,3,0,1
Lorient,Brest,1,2,A,1,0,H,9,16,3,5,10,8,3,6,1,1,1,0
Nantes,Strasbourg,2,2,D,1,1,D,20,17,6,6,15,12,9,5,2,1,0,1
Reims,Monaco,0,0,D,0,0,D,11,12,4,3,9,13,5,6,0,2,0,0
St Etienne,Clermont,3,2,H,0,0,D,18,9,4,4,7,10,9,2,1,1,0,0
Nice,Montpellier,0,1,A,0,0,D,22,8,6,2,9,7,8,2,2,0,0,0
Rennes,Lyon,4,1,H,1,0,H,25,6,12,4,12,12,7,2,2,2,0,0
Monaco,Lille,2,2,D,1,2,A,17,15,8,8,15,16,6,5,3,5,1,0
Paris SG,Nantes,3,1,H,1,0,H,14,12,7,6,8,12,4,3,1,2,1,0
Rennes,Montpellier,2,0,H,2,0,H,30,4,7,2,9,10,8,2,1,3,0,1
Brest,Lens,4,0,H,3,0,H,13,14,5,5,7,7,5,5,1,2,0,1
Angers,Lorient,1,0,H,0,0,D,8,10,4,3,15,13,6,3,4,0,0,0
Metz,Bordeaux,3,3,D,1,2,A,20,19,9,5,12,11,2,4,2,2,1,0
Strasbourg,Reims,1,1,D,0,1,A,21,10,3,3,8,13,5,4,1,4,0,0
Troyes,St Etienne,0,1,A,0,0,D,15,14,3,4,13,11,6,8,1,4,0,0
Clermont,Nice,1,2,A,1,0,H,18,9,6,4,7,16,3,5,1,4,0,0
Lens,Angers,2,2,D,0,1,A,9,12,4,5,15,6,5,5,2,0,0,0
Lille,Nantes,1,1,D,1,1,D,10,7,3,3,7,12,12,1,1,2,0,1
Nice,Metz,0,1,A,0,1,A,20,4,2,1,13,12,8,1,2,2,0,0
St Etienne,Paris SG,1,3,A,1,1,D,8,15,4,8,7,10,5,5,3,1,1,0
Bordeaux,Brest,1,2,A,1,0,H,16,14,4,4,13,11,5,2,3,1,0,0
Lorient,Rennes,0,2,A,0,0,D,6,11,0,5,11,11,3,4,0,2,0,0
Monaco,Strasbourg,1,1,D,1,0,H,8,7,3,4,12,9,4,3,2,1,0,0
Reims,Clermont,1,0,H,0,0,D,12,4,3,0,13,13,4,1,2,2,0,0
Montpellier,Lyon,0,1,A,0,1,A,15,11,6,3,7,15,8,5,1,4,0,0
Marseille,Troyes,1,0,H,0,0,D,14,5,4,2,10,17,7,3,1,4,0,0
Angers,Monaco,1,3,A,0,2,A,9,14,3,8,13,18,4,4,1,2,0,0
Brest,St Etienne,1,0,H,0,0,D,8,13,3,3,8,9,1,3,2,3,0,0
