HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Arouca,Gil Vicente,3,0,H,1,0,H,10,9,7,5,11,8,4,6,2,0,0,0
Boavista,Guimaraes,1,1,D,0,1,A,10,14,4,3,17,9,7,8,6,2,0,0
Chaves,Casa Pia,1,3,A,1,2,A,15,9,5,6,16,14,4,2,1,1,0,0
Moreirense,Portimonense,5,2,H,2,1,H,16,9,5,3,12,12,7,7,2,2,0,0
Famalicao,Estoril,1,1,D,1,1,D,10,12,3,5,9,19,1,7,3,1,0,0
Sp Braga,Benfica,0,1,A,0,1,A,16,11,6,6,11,9,5,2,3,3,0,0
Sp Lisbon,Porto,2,0,H,1,0,H,11,5,6,3,21,15,2,2,4,4,0,1
Guimaraes,Rio Ave,1,0,H,0,0,D,5,9,3,4,13,18,4,8,4,3,0,0
Vizela,Moreirense,0,0,D,0,0,D,9,10,3,5,16,8,3,9,3,1,0,0
Estrela,Arouca,1,4,A,1,0,H,6,18,2,5,6,12,3,5,0,2,1,0
Benfica,Famalicao,3,0,H,1,0,H,17,12,10,3,21,14,6,4,2,3,0,0
Porto,Chaves,1,0,H,0,0,D,17,5,10,2,20,11,8,3,3,5,0,0
Estoril,Farense,4,0,H,2,0,H,12,14,7,4,8,18,10,8,2,2,0,0
Gil Vicente,Boavista,1,0,H,0,0,D,11,8,3,1,15,15,4,3,0,1,0,0
Casa Pia,Sp Braga,1,3,A,0,0,D,7,11,3,6,9,7,2,3,1,0,0,0
Portimonense,Sp Lisbon,1,2,A,0,0,D,7,14,3,6,11,12,0,12,4,3,0,0
Sp Lisbon,Estoril,5,1,H,2,0,H,21,11,8,3,6,10,5,7,1,3,0,0
Boavista,Porto,1,1,D,1,1,D,7,24,2,7,18,14,1,6,5,1,1,0
Estrela,Vizela,1,1,D,1,0,H,12,16,4,7,14,13,6,4,0,1,0,0
Farense,Gil Vicente,1,0,H,0,0,D,11,14,5,6,9,7,6,5,2,2,0,0
Arouca,Benfica,0,3,A,0,1,A,11,11,1,5,12,5,1,3,2,2,0,0
Sp Braga,Guimaraes,1,1,D,0,0,D,11,13,4,4,7,9,5,6,2,0,0,0
Rio Ave,Portimonense,2,0,H,0,0,D,9,7,3,3,9,13,3,6,1,3,0,0
Famalicao,Chaves,2,2,D,2,1,H,17,10,7,5,17,23,5,8,3,2,0,0
Moreirense,Casa Pia,1,4,A,1,3,A,13,10,4,7,15,24,4,3,2,2,0,0
Portimonense,Farense,1,0,H,0,0,D,12,8,4,3,19,9,4,4,2,3,0,0
Casa Pia,Famalicao,0,2,A,0,1,A,8,13,1,4,13,15,6,3,1,1,1,0
Chaves,Sp Lisbon,0,3,A,0,1,A,5,17,0,10,11,14,2,5,1,2,0,0
Estoril,Moreirense,1,3,A,0,2,A,9,12,5,7,15,11,8,1,2,3,0,0
Gil Vicente,Estrela,1,1,D,1,0,H,9,15,2,6,14,10,7,5,2,4,0,0
Benfica,Rio Ave,4,1,H,1,1,D,15,9,12,5,12,11,5,3,1,3,0,1
Vizela,Boavista,1,4,A,0,2,A,27,10,7,7,19,4,11,1,2,2,0,0
Porto,Sp Braga,2,0,H,1,0,H,8,10,4,5,12,15,5,5,3,5,0,0
Guimaraes,Arouca,2,1,H,1,1,D,15,9,6,2,8,7,10,1,0,3,0,0
Famalicao,Sp Braga,1,2,A,0,0,D,11,12,3,7,9,11,3,4,4,4,1,0
Vizela,Sp Lisbon,2,5,A,1,1,D,4,18,3,9,16,13,0,6,3,1,0,0
Benfica,Boavista,2,0,H,0,0,D,20,5,7,1,15,11,12,4,3,3,0,0
Estoril,Arouca,1,2,A,1,2,A,13,15,4,7,16,13,7,4,3,2,0,0
Casa Pia,Farense,1,3,A,0,2,A,21,7,6,4,10,13,14,3,0,1,0,0
Porto,Moreirense,5,0,H,1,0,H,16,5,8,1,13,16,5,1,0,3,0,0
Portimonense,Gil Vicente,0,2,A,0,1,A,8,15,0,8,19,15,3,8,3,1,0,0
Chaves,Rio Ave,0,0,D,0,0,D,19,6,6,1,15,13,11,0,2,3,0,0
Guimaraes,Estrela,3,0,H,1,0,H,12,5,4,1,13,10,8,5,1,1,0,1
Boavista,Portimonense,1,4,A,0,3,A,20,12,5,5,14,14,11,1,2,2,0,0
Moreirense,Famalicao,1,0,H,0,0,D,7,8,2,1,14,13,3,4,3,2,0,0
Farense,Porto,1,3,A,0,2,A,9,18,4,4,16,7,4,10,1,0,0,0
